№,Город,Название фабрики ,Фото иконки,Weixin ID,Сегмент,Адрес фабрики,Взаимодействие,Номер телефона
1,新塘,,,VivianChen_7,средний+,新塘镇久裕工业大道三街2号,взаимодействовали несколько раз,18825122577
2,新塘,,,kujielanniu,средний,广州市增城区新塘镇牛仔城25幢117号（盛汇）,взаимодействовали несколько раз,13798150137
3,中山,,,tanw1011,выше среднего,"汇龙商务大厦
广东省中山市龙阳路8号 (广东省中山市沙溪镇隆都路45号 奥琳大楼二楼办公室 )",взаимодействовали 1 раз,"18826050718
"
4,佛山,尚帛服装,,hansenxie,,广东省佛山市顺德区均安镇百安南路171号之二B栋4楼(尚帛服装）,не взаимодействовали,13336453824 谢进贤
5,佛山,栩驰制衣有限公司 ,,wondering55655,средний,佛山市顺德区均安镇新华社区永德路一号A1栋2楼202（捷安工业园内）,взаимодействуем,朱嘉文 13925455655
